time,target_flux,filter,norm_target_flux,target_mag,target_flux_err,target_mag_err,diff_mag
2022-11-06T04:11:20.000,139359.84405076204,g,0.969106195732855,12.13965587082258,373.30931417627664,0.002922369459085671,2.552953843560333
2022-11-06T04:11:30.000,137744.93482293948,g,0.9578761419904085,12.152310905308266,371.1400474523593,0.0029394503396484215,2.5676511788009027
2022-11-06T04:11:40.000,137475.80936754978,g,0.9560046477445296,12.154434286992533,370.7773042778506,0.0029423260969701683,2.5688510460449976
2022-11-06T04:11:50.000,140342.27238445406,g,0.975937987139694,12.132028739426099,374.6228401798989,0.0029121228647379883,2.5474846492449625
2022-11-06T04:12:00.000,137657.0239345634,g,0.9572648110350824,12.153004059692316,371.02159497064775,0.0029403887895724113,2.5659536250472925
2022-11-06T04:12:10.000,134308.05905591638,g,0.9339761611711634,12.179744817574225,366.48063940120545,0.0029768222963250483,2.5764379198558984
2022-11-06T04:12:20.000,136325.85865531367,g,0.9480079083135534,12.163554395516933,369.22331813594013,0.002954709751401196,2.575868266250829
2022-11-06T04:12:30.000,140267.36431297314,g,0.9754170775715395,12.132608408806842,374.5228488530081,0.0029129003527609645,2.53953770420976
2022-11-06T04:12:40.000,140745.68649954733,g,0.9787433226439486,12.128912265759041,375.16088082254436,0.0029079464152793693,2.5389177115630623
2022-11-06T04:12:50.000,139149.44547368097,g,0.9676430872885862,12.141296300098116,373.02740579437454,0.0029245779843380627,2.551699202696742
2022-11-06T03:56:20.000,119989.83104225426,g,0.8344074254677755,12.302138895492787,346.39548357658225,0.003149428298766425,2.6947138157413946
2022-11-06T04:13:00.000,140868.0958266188,g,0.9795945552073063,12.127968389749324,375.3239878113559,0.0029066826900744146,2.542621082864196
2022-11-06T04:13:10.000,136852.65920645557,g,0.9516712711818496,12.15936689831149,369.9360204230666,0.002949017338980231,2.5712315395142653
2022-11-06T04:13:20.000,139171.1528379269,g,0.9677940399631321,12.1411269380641,373.05650086538753,0.002924349893408297,2.5491003025071937
2022-11-06T04:13:30.000,138557.7247484281,g,0.9635282705356539,12.14592314200684,372.2334277686894,0.0029308161415822587,2.5557510478452183
2022-11-06T04:13:40.000,138439.5189775696,g,0.9627062694370546,12.146849795940984,372.0746147986578,0.002932067104688981,2.5571946450268648
2022-11-06T04:13:50.000,141275.5937004966,g,0.9824282891068583,12.124832147337454,375.8664572697284,0.00290248761878234,2.5307120274975503
2022-11-06T04:14:00.000,142875.99043825315,g,0.9935574232183,12.112601864975868,377.98940519312595,0.00288618602413888,2.528826133696416
2022-11-06T04:14:10.000,143576.1718325542,g,0.9984264737828717,12.107294076075373,378.9144650611193,0.0028791398564449043,2.5228952443523767
2022-11-06T04:14:20.000,142358.5147909821,g,0.9899589055870045,12.116541378964762,377.3042734862436,0.0028914269336542354,2.5387154801205014
2022-11-06T04:14:30.000,140074.1142223521,g,0.974073219436347,12.134105287929335,374.2647648688721,0.002914909018815048,2.55258795085488
2022-11-06T03:56:30.000,117677.5762245997,g,0.8183280413010858,12.323265713106187,343.0416537748728,0.0031802194472188568,2.6958924845028314
2022-11-06T04:14:40.000,141414.30128742222,g,0.9833928595166516,12.123766669838922,376.05092911389306,0.0029010638030109947,2.537306002900687
2022-11-06T04:14:50.000,141943.7251202967,g,0.9870744646454606,12.119709503721744,376.75419721656283,0.0028956485331837695,2.535266189200396
2022-11-06T04:15:00.000,141689.98568434647,g,0.9853099645403114,12.121652108956491,376.4173025836438,0.0028982401474452637,2.534560452585298
2022-11-06T04:15:10.000,138132.1234789304,g,0.9605686459035272,12.149263279525329,371.66130210035374,0.0029353277631427904,2.5542322173163807
2022-11-06T04:15:20.000,140626.31533084335,g,0.9779132173867932,12.12983350601464,375.00175377035686,0.0029091803640178223,2.5365165365098026
2022-11-06T04:15:30.000,138781.4193376372,g,0.9650838392421996,12.144171688076446,372.5337828139043,0.002928453173563433,2.542141643518237
2022-11-06T04:15:40.000,140415.1630554465,g,0.9764448677361173,12.131464978454714,374.7201129582538,0.002911366913103239,2.5423812405446444
2022-11-06T04:15:50.000,143440.86576331538,g,0.997485557474356,12.10831775543747,378.73587863221434,0.0028804974656239904,2.5212284288175795
2022-11-06T04:16:00.000,141592.211698476,g,0.9846300457578675,12.122401586061224,376.2874057133403,0.0028992406388750193,2.5324175576997074
2022-11-06T04:16:10.000,137325.74536202557,g,0.9549611049758032,12.15562008770741,370.5748849585271,0.0029439332853414017,2.558949290245076
2022-11-06T03:56:40.000,120940.60025064719,g,0.8410190598079372,12.293569700601509,347.7651510008546,0.003137024326334204,2.6930602315862036
2022-11-06T04:16:20.000,142115.21747945074,g,0.9882670198532325,12.118398539989425,376.98172035186366,0.0028939008966342187,2.530938670676676
2022-11-06T04:16:30.000,141110.41178523595,g,0.9812796166281219,12.12610235197041,375.6466581579503,0.0029041859280490435,2.5373181273477297
2022-11-06T04:16:40.000,141257.33303954147,g,0.9823013047535797,12.124972493887345,375.84216506339664,0.002902675218351163,2.5378978098743232
2022-11-06T04:16:50.000,136476.09342205807,g,0.9490526385531585,12.162358543795817,369.42670913465105,0.0029530830109615403,2.5638455237491495
2022-11-06T04:17:00.000,141562.45650734406,g,0.9844231286198813,12.12262977434161,376.24786578443747,0.002899545320387284,2.529335193721602
2022-11-06T04:17:10.000,140767.12439297166,g,0.9788924014225773,12.12874690279019,375.1894513348845,0.002907724976433883,2.532821956538223
2022-11-06T04:17:20.000,142573.27595718057,g,0.9914523514083843,12.11490467835609,377.5887656660094,0.0028892484039261656,2.5211132956724356
