,time,target_flux,filter,norm_target_flux,target_mag,target_flux_err,target_mag_err,diff_mag,obs_no,color,Anomaly,Anomaly_Score
218,2022-11-06T04:47:30.000,157840.47,g,1.197386,12.004454,397.2914,0.0027459636,0.45704007,20221106,tab:red,1,0.0012149355849197518
224,2022-11-06T04:48:20.000,154497.23,g,1.172024,12.0276985,393.06134,0.0027755152,0.463779,20221106,tab:red,1,0.0012583817605289482
228,2022-11-06T04:49:00.000,159800.77,g,1.212257,11.991053,399.7509,0.002729069,0.47322205,20221106,tab:red,1,0.0006052641970236694
229,2022-11-06T04:49:10.000,159895.34,g,1.2129744,11.990411,399.86917,0.0027282618,0.45696032,20221106,tab:red,1,0.0019666677758563567
230,2022-11-06T04:49:20.000,161452.44,g,1.2247866,11.979889,401.81143,0.0027150738,0.4627971,20221106,tab:red,1,0.002000029815109272
239,2022-11-06T04:50:40.000,158662.7,g,1.2036235,11.998813,398.32486,0.0027388392,0.44855615,20221106,tab:red,1,0.001011574275020688
241,2022-11-06T04:51:00.000,156942.58,g,1.1905746,12.010648,396.1598,0.0027538072,0.46520713,20221106,tab:red,1,0.0034311451776393165
245,2022-11-06T04:51:30.000,160318.1,g,1.2161815,11.987544,400.39743,0.0027246622,0.4599022,20221106,tab:red,1,0.002000029815109272
246,2022-11-06T04:51:40.000,158852.02,g,1.2050596,11.997519,398.56244,0.0027372066,0.44721067,20221106,tab:red,1,0.0026125351161024324
249,2022-11-06T04:52:10.000,158325.94,g,1.2010689,12.00112,397.90192,0.0027417503,0.45319155,20221106,tab:red,1,0.0034311451776393165
250,2022-11-06T04:52:20.000,161610.3,g,1.2259842,11.978827,402.00784,0.0027137476,0.45075577,20221106,tab:red,1,0.001985055045353179
256,2022-11-06T04:53:10.000,161480.77,g,1.2250016,11.979698,401.84668,0.0027148356,0.43847278,20221106,tab:red,1,0.0004023152429294963
259,2022-11-06T04:53:40.000,157141.11,g,1.1920806,12.009275,396.41028,0.0027520673,0.43079937,20221106,tab:red,1,0.0006871857395864267
263,2022-11-06T04:54:20.000,158619.02,g,1.2032921,11.999112,398.27002,0.0027392162,0.46668082,20221106,tab:red,1,0.0034311451776393165
269,2022-11-06T04:31:00.000,145628.58,g,1.1047461,12.091884,381.61313,0.0028587794,0.5359007,20221106,tab:red,1,0.0001758808551081681
275,2022-11-06T04:31:50.000,143958.36,g,1.0920756,12.104408,379.41846,0.0028753155,0.53390795,20221106,tab:red,1,0.0009240463332996773
276,2022-11-06T04:32:00.000,144796.17,g,1.0984313,12.098107,380.5209,0.002866985,0.53214884,20221106,tab:red,1,0.0011273484029528658
283,2022-11-06T04:33:00.000,143251.34,g,1.0867122,12.109754,378.4856,0.0028824022,0.5254176,20221106,tab:red,1,0.0009240463332996773
285,2022-11-06T04:33:20.000,141615.64,g,1.0743037,12.122222,376.31854,0.0028990007,0.52032626,20221106,tab:red,1,0.005185909702243419
290,2022-11-06T04:34:10.000,143244.9,g,1.0866634,12.109802,378.4771,0.002882467,0.5211759,20221106,tab:red,1,0.0007208817685224189
294,2022-11-06T04:34:40.000,148106.19,g,1.1235414,12.073567,384.84567,0.0028347669,0.50775796,20221106,tab:red,1,0.0005178546156187069
296,2022-11-06T04:35:00.000,145579.56,g,1.1043742,12.092249,381.5489,0.0028592607,0.5245591,20221106,tab:red,1,0.00011221217373635906
297,2022-11-06T04:35:10.000,144048.19,g,1.0927571,12.10373,379.5368,0.0028744189,0.51340353,20221106,tab:red,1,0.0011273484029528658
298,2022-11-06T04:35:20.000,147367.42,g,1.117937,12.078997,383.88464,0.0028418633,0.5166531,20221106,tab:red,1,0.0015343654292116482
308,2022-11-06T04:36:50.000,138954.81,g,1.0541184,12.142816,372.76642,0.0029266255,0.50274366,20221106,tab:red,1,0.000368613107564586
312,2022-11-06T04:37:30.000,145338.86,g,1.1025481,12.094046,381.23334,0.0028616274,0.4944155,20221106,tab:red,1,0.0006798653684217393
319,2022-11-06T04:38:30.000,145426.56,g,1.1032135,12.09339,381.34836,0.0028607643,0.51198804,20221106,tab:red,1,0.0005178546156187069
321,2022-11-06T04:38:50.000,145449.06,g,1.1033843,12.093223,381.37784,0.002860543,0.49413478,20221106,tab:red,1,0.0009671087552634572
337,2022-11-06T04:29:10.000,137114.55,g,1.0401582,12.157291,370.28983,0.0029461996,0.5410056,20221106,tab:red,1,0.0016401132120186235
339,2022-11-06T04:41:30.000,153710.03,g,1.1660523,12.033244,392.05872,0.0027826133,0.48551065,20221106,tab:red,1,0.0010549910654839567
342,2022-11-06T04:42:00.000,155846.34,g,1.1822586,12.018258,394.7738,0.0027634755,0.48213032,20221106,tab:red,1,0.0030215632167306383
343,2022-11-06T04:42:10.000,153608.66,g,1.1652832,12.033961,391.92938,0.0027835313,0.4848576,20221106,tab:red,1,0.0019493295688579049
344,2022-11-06T04:42:20.000,152982.1,g,1.1605301,12.038399,391.12924,0.0027892257,0.4949964,20221106,tab:red,1,0.0009885111013766545
352,2022-11-06T04:43:30.000,152402.67,g,1.1561347,12.042519,390.38785,0.0027945228,0.47702435,20221106,tab:red,1,0.002066687368319886
359,2022-11-06T04:29:30.000,148580.33,g,1.1271381,12.070097,385.46118,0.0028302402,0.5257087,20221106,tab:red,1,0.0028453939473806478
360,2022-11-06T06:01:32.000,155447.14,g,1.1792302,12.021043,394.26785,0.0027670218,0.452249,20221106,tab:red,1,0.00635129406360202
362,2022-11-06T06:01:52.000,158525.8,g,1.202585,11.99975,398.15298,0.0027400216,0.4619662,20221106,tab:red,1,0.0034311451776393165
365,2022-11-06T06:02:22.000,152939.53,g,1.1602073,12.038701,391.07483,0.0027896138,0.45641354,20221106,tab:red,1,0.0018693801659491194
369,2022-11-06T06:03:02.000,150529.8,g,1.141927,12.0559435,387.9817,0.0028118535,0.44955188,20221106,tab:red,1,0.004135462318497984
370,2022-11-06T05:46:32.000,158289.81,g,1.2007948,12.001368,397.8565,0.0027420633,0.43139097,20221106,tab:red,1,0.0006871857395864267
371,2022-11-06T06:03:12.000,155255.77,g,1.1777784,12.022381,394.0251,0.0027687266,0.44599617,20221106,tab:red,1,0.0028248009728457646
384,2022-11-06T06:05:12.000,152529.05,g,1.1570933,12.041618,390.54965,0.002793365,0.46496043,20221106,tab:red,1,0.00020963543557023234
387,2022-11-06T06:05:42.000,155303.19,g,1.1781381,12.022049,394.08527,0.0027683037,0.4627059,20221106,tab:red,1,0.002393129294923524
388,2022-11-06T06:05:52.000,152600.14,g,1.1576326,12.041113,390.6407,0.0027927142,0.47234708,20221106,tab:red,1,0.0032104942525160163
389,2022-11-06T06:06:02.000,155465.31,g,1.179368,12.020916,394.2909,0.00276686,0.46042317,20221106,tab:red,1,0.0026125351161024324
392,2022-11-06T05:46:52.000,151303.62,g,1.1477972,12.050377,388.97766,0.002804654,0.41946074,20221106,tab:red,1,0.0018144382387614844
393,2022-11-06T06:06:32.000,155501.31,g,1.1796411,12.020665,394.33655,0.0027665398,0.47111848,20221106,tab:red,1,0.0028169799807153395
396,2022-11-06T06:07:02.000,157608.22,g,1.1956242,12.006053,396.99902,0.002747986,0.45637688,20221106,tab:red,1,0.002204060126793028
398,2022-11-06T06:07:22.000,155798.55,g,1.181896,12.018592,394.71326,0.0027638995,0.46082714,20221106,tab:red,1,0.0023414491982514662
405,2022-11-06T06:08:22.000,156311.92,g,1.1857904,12.015019,395.36304,0.002759357,0.46338308,20221106,tab:red,1,0.0034311451776393165
406,2022-11-06T06:08:32.000,156823.61,g,1.1896721,12.011472,396.0096,0.0027548517,0.47185054,20221106,tab:red,1,0.002545710587780803
409,2022-11-06T06:09:02.000,157130.69,g,1.1920016,12.009348,396.39713,0.0027521586,0.4662186,20221106,tab:red,1,0.002408228529303391
412,2022-11-06T06:09:32.000,155633.2,g,1.1806417,12.019744,394.50375,0.0027653673,0.46927533,20221106,tab:red,1,0.00080835051006517
