ID,MJD,Mag,Mag_err,RA,Dec
1112007042527,53706.2610058682,13.259187,0.0520579793495474,19.70322,13.35222
1112007042527,53706.2697568866,13.392386,0.0523957989231496,19.7022,13.35214
1112007042527,53706.2785066203,13.309651,0.0524280722730313,19.70219,13.35215
1112007042527,53706.2871561227,13.284801,0.0521878397976714,19.7022,13.35212
1112007042527,53726.16220228,13.486199,0.0525643380875747,19.70222,13.35215
1112007042527,53726.1714155902,13.495057,0.0527074181686822,19.70221,13.35214
1112007042527,53726.1806275002,13.500578,0.0527456538334386,19.7022,13.35215
1112007042527,53726.1898259954,13.50608,0.0527632267438386,19.70221,13.35214
1112007042527,53732.0745787383,13.339617,0.0527249489600501,19.7022,13.35213
1112007042527,53699.1572427778,13.45743,0.0525765796854377,19.70222,13.35215
1112007042527,53699.1657487499,13.507699,0.0526980243469128,19.70222,13.35214
1112007042527,53699.1742690858,13.536289,0.0527648844423208,19.70221,13.35215
1112007042527,53699.1827965858,13.544237,0.0527792870473661,19.70222,13.35215
1112007042527,53646.3241819213,13.275948,0.0523488693639989,19.70219,13.35213
1112007042527,53646.3314153818,13.304847,0.0524131961733682,19.70221,13.35215
1112007042527,53646.3386850692,13.333013,0.0524768780386676,19.7022,13.35215
1112007042527,53646.3459459608,13.368992,0.0525626690392492,19.7022,13.35215
1112007042527,53671.200273287,13.275294,0.0525061726846701,19.7022,13.35215
1112007042527,53671.2050859141,13.250089,0.0524290908842533,19.70222,13.35216
1112007042527,53671.2099075578,13.225793,0.0522862578057334,19.70221,13.35215
1112007042527,53671.2147316434,13.213504,0.052340221417709,19.70221,13.35213
1112007042527,53636.3797119097,13.452306,0.0527012955680099,19.70219,13.35218
1112007042527,53636.3872321989,13.502985,0.0528457663826194,19.70218,13.35216
1112007042527,53636.3947057175,13.509143,0.0528644200945597,19.7022,13.35215
1112007042527,53636.4022021527,13.513636,0.0528813639562743,19.70218,13.35216
1112007042527,53976.3416235303,13.221155,0.0518224550349445,19.70224,13.35214
1112007042527,53976.3475756827,13.226699,0.0518307696292274,19.70222,13.35214
1112007042527,53976.3534988887,13.230216,0.0518320717377685,19.70223,13.35213
1112007042527,53976.359449537,13.242889,0.0518502792562728,19.70223,13.35213
1112007042527,54081.2102969792,13.324553,0.0520739690953752,19.7022,13.35213
1112007042527,54081.216949618,13.273092,0.0519807724884986,19.70223,13.35212
1112007042527,54081.2236447455,13.24821,0.0519382863013139,19.70222,13.35213
1112007042527,54081.2303192709,13.219633,0.0518910862384923,19.70222,13.35213
1112007042527,53772.0744865855,13.56688,0.0537646165557939,19.70218,13.35214
